
tournament_year,team,squad_market_value,avg_age,players_top_5_leagues,champions_league_players,total_caps,international_goals,source,updated_at
2010,Algeria,,,,,,,https://www.worldcup.org.uk/football/2010/teams.shtml,2026-06-23
2010,Argentina,,,,,,,https://www.worldcup.org.uk/football/2010/teams.shtml,2026-06-23
2010,Australia,,,,,,,https://www.worldcup.org.uk/football/2010/teams.shtml,2026-06-23
2010,Brazil,,,,,,,https://www.worldcup.org.uk/football/2010/teams.shtml,2026-06-23
2010,Cameroon,,,,,,,https://www.worldcup.org.uk/football/2010/teams.shtml,2026-06-23
2010,Chile,,,,,,,https://www.worldcup.org.uk/football/2010/teams.shtml,2026-06-23
2010,Ivory Coast,,,,,,,https://www.worldcup.org.uk/football/2010/teams.shtml,2026-06-23
2010,Denmark,,,,,,,https://www.worldcup.org.uk/football/2010/teams.shtml,2026-06-23
2010,England,,,,,,,https://www.worldcup.org.uk/football/2010/teams.shtml,2026-06-23
2010,France,,,,,,,https://www.worldcup.org.uk/football/2010/teams.shtml,2026-06-23
2010,Germany,,,,,,,https://www.worldcup.org.uk/football/2010/teams.shtml,2026-06-23
2010,Ghana,,,,,,,https://www.worldcup.org.uk/football/2010/teams.shtml,2026-06-23
2010,Greece,,,,,,,https://www.worldcup.org.uk/football/2010/teams.shtml,2026-06-23
2010,Honduras,,,,,,,https://www.worldcup.org.uk/football/2010/teams.shtml,2026-06-23
2010,Italy,,,,,,,https://www.worldcup.org.uk/football/2010/teams.shtml,2026-06-23
2010,Japan,,,,,,,https://www.worldcup.org.uk/football/2010/teams.shtml,2026-06-23
2010,Mexico,,,,,,,https://www.worldcup.org.uk/football/2010/teams.shtml,2026-06-23
2010,Netherlands,,,,,,,https://www.worldcup.org.uk/football/2010/teams.shtml,2026-06-23
2010,New Zealand,,,,,,,https://www.worldcup.org.uk/football/2010/teams.shtml,2026-06-23
2010,Nigeria,,,,,,,https://www.worldcup.org.uk/football/2010/teams.shtml,2026-06-23
2010,North Korea,,,,,,,https://www.worldcup.org.uk/football/2010/teams.shtml,2026-06-23
2010,Paraguay,,,,,,,https://www.worldcup.org.uk/football/2010/teams.shtml,2026-06-23
2010,Portugal,,,,,,,https://www.worldcup.org.uk/football/2010/teams.shtml,2026-06-23
2010,Serbia,,,,,,,https://www.worldcup.org.uk/football/2010/teams.shtml,2026-06-23
2010,Slovakia,,,,,,,https://www.worldcup.org.uk/football/2010/teams.shtml,2026-06-23
2010,Slovenia,,,,,,,https://www.worldcup.org.uk/football/2010/teams.shtml,2026-06-23
2010,South Africa,,,,,,,https://www.worldcup.org.uk/football/2010/teams.shtml,2026-06-23
2010,South Korea,,,,,,,https://www.worldcup.org.uk/football/2010/teams.shtml,2026-06-23
2010,Spain,,,,,,,https://www.worldcup.org.uk/football/2010/teams.shtml,2026-06-23
2010,Switzerland,,,,,,,https://www.worldcup.org.uk/football/2010/teams.shtml,2026-06-23
2010,United States,,,,,,,https://www.worldcup.org.uk/football/2010/teams.shtml,2026-06-23
2010,Uruguay,,,,,,,https://www.worldcup.org.uk/football/2010/teams.shtml,2026-06-23
2014,Algeria,,,,,,,https://www.worldcup.org.uk/football/2014/teams.shtml,2026-06-23
2014,Argentina,,,,,,,https://www.worldcup.org.uk/football/2014/teams.shtml,2026-06-23
2014,Australia,,,,,,,https://www.worldcup.org.uk/football/2014/teams.shtml,2026-06-23
2014,Belgium,,,,,,,https://www.worldcup.org.uk/football/2014/teams.shtml,2026-06-23
2014,Bosnia and Herzegovina,,,,,,,https://www.worldcup.org.uk/football/2014/teams.shtml,2026-06-23
2014,Brazil,,,,,,,https://www.worldcup.org.uk/football/2014/teams.shtml,2026-06-23
2014,Cameroon,,,,,,,https://www.worldcup.org.uk/football/2014/teams.shtml,2026-06-23
2014,Chile,,,,,,,https://www.worldcup.org.uk/football/2014/teams.shtml,2026-06-23
2014,Colombia,,,,,,,https://www.worldcup.org.uk/football/2014/teams.shtml,2026-06-23
2014,Costa Rica,,,,,,,https://www.worldcup.org.uk/football/2014/teams.shtml,2026-06-23
2014,Croatia,,,,,,,https://www.worldcup.org.uk/football/2014/teams.shtml,2026-06-23
2014,Ivory Coast,,,,,,,https://www.worldcup.org.uk/football/2014/teams.shtml,2026-06-23
2014,Ecuador,,,,,,,https://www.worldcup.org.uk/football/2014/teams.shtml,2026-06-23
2014,England,,,,,,,https://www.worldcup.org.uk/football/2014/teams.shtml,2026-06-23
2014,France,,,,,,,https://www.worldcup.org.uk/football/2014/teams.shtml,2026-06-23
2014,Germany,,,,,,,https://www.worldcup.org.uk/football/2014/teams.shtml,2026-06-23
2014,Ghana,,,,,,,https://www.worldcup.org.uk/football/2014/teams.shtml,2026-06-23
