model_name,test_year,n_matches,n_skipped,accuracy,log_loss,brier,rps,ece,mean_confidence,tuning_source_years,notes
bookmaker_calibrated,2014,63,0,0.5714285714285714,0.952306951042265,0.5654441748357657,0.19820855728400116,0.09162777104302597,0.5360911259490592,none,limited: no prior tournament rows; identity calibration used
bookmaker_odds_only,2014,63,0,0.5714285714285714,0.952306951042265,0.5654441748357657,0.19820855728400116,0.09162777104302597,0.5360911259490592,none,bookmaker odds-only from Stage 5 benchmark
market_blend_tuned,2014,63,0,0.5714285714285714,0.952306951042265,0.5654441748357657,0.19820855728400116,0.09162777104302597,0.5360911259490592,none,time-safe alpha tuned blend alpha=0.00; p=alpha*model+(1-alpha)*market
official_model,2014,63,0,0.5396825396825397,0.9559875364967557,0.5629226125258118,0.1974844003960847,0.1355323890014759,0.517418023691257,none,official model from Stage 5 benchmark
official_model_calibrated,2014,63,0,0.5396825396825397,0.9559875364967557,0.5629226125258118,0.1974844003960847,0.1355323890014759,0.517418023691257,none,limited: no prior tournament rows; identity calibration used
bookmaker_calibrated,2018,62,0,0.5645161290322581,0.9352851151564079,0.5505589935692992,0.19633035131067775,0.06456518059539552,0.5655520277391011,2014,temperature/exponent calibration gamma=1.100; train_log_loss=0.951360
bookmaker_odds_only,2018,62,0,0.5645161290322581,0.935958553136967,0.5515248344885412,0.19650959651457534,0.06893799930064505,0.5471059419547896,none,bookmaker odds-only from Stage 5 benchmark
market_blend_tuned,2018,62,0,0.5483870967741935,0.9398490510200805,0.5589183446707893,0.19880747104732904,0.0910789384208479,0.5323767752365766,2014,time-safe alpha tuned blend alpha=0.40; p=alpha*model+(1-alpha)*market
official_model,2018,62,0,0.5161290322580645,0.9718632112817095,0.5830417544068218,0.2071064369538333,0.05906654661101182,0.5241119577182373,none,official model from Stage 5 benchmark
official_model_calibrated,2018,62,0,0.5161290322580645,0.9739922517345163,0.5856341211095661,0.20805681459834313,0.06509446084187231,0.5580098417983895,2014,temperature/exponent calibration gamma=1.200; train_log_loss=0.951716
stacked_model_market,2018,62,0,0.532258064516129,0.9458838671223395,0.5585705495982142,0.20016920946762337,0.08932940052298458,0.5471921829044709,2014,time-safe logistic stacker trained on prior paired World Cup rows
bookmaker_calibrated,2022,63,0,0.5238095238095238,1.0185458416368145,0.5942151265111987,0.2120112523406802,0.13145637173893734,0.5832003502741693,"2014,2018",temperature/exponent calibration gamma=1.100; train_log_loss=0.943387
bookmaker_odds_only,2022,63,0,0.5238095238095238,1.0106515071917455,0.5917997441675275,0.21038473944708233,0.11222955068799875,0.5631781806863594,none,bookmaker odds-only from Stage 5 benchmark
market_blend_tuned,2022,63,0,0.5238095238095238,1.0182117121577743,0.5973045327564923,0.2131006357608911,0.053516996005106274,0.559184214182141,"2014,2018",time-safe alpha tuned blend alpha=0.20; p=alpha*model+(1-alpha)*market
official_model,2022,63,0,0.47619047619047616,1.0879858812870227,0.6409529394957121,0.23334884220283314,0.13211761613836004,0.5544119251750602,none,official model from Stage 5 benchmark
official_model_calibrated,2022,63,0,0.47619047619047616,1.109564378319599,0.6492791291651396,0.23761246273766565,0.13220241703835675,0.5842594102168424,"2014,2018",temperature/exponent calibration gamma=1.150; train_log_loss=0.962349
stacked_model_market,2022,63,0,0.5396825396825397,1.0455027007196085,0.6195652607808055,0.2180285250950869,0.09186900825044454,0.5726047185821053,"2014,2018",time-safe logistic stacker trained on prior paired World Cup rows
stacked_model_market,2014,0,63,,,,,,,none,skipped: insufficient prior paired tournament rows/classes for time-safe stacker
