date,match_id,tournament_year,stage,home_team,away_team,actual_result,official_predicted_result,bookmaker_predicted_result,official_log_loss,bookmaker_log_loss,delta_log_loss,official_home_prob,official_draw_prob,official_away_prob,bookmaker_home_prob,bookmaker_draw_prob,bookmaker_away_prob
2022-11-28,historical_41a08824e106c23b,2022,group_stage,South Korea,Ghana,away_win,home_win,home_win,2.207921366948376,1.079133170383609,1.128788196564767,0.6770517265036394,0.2130193604301292,0.1099289130662313,0.3512196922168505,0.308890283057165,0.3398900247259844
2018-06-17,historical_c01e81b0eb561061,2018,group_stage,Costa Rica,Serbia,away_win,draw,away_win,1.3220087898659474,0.6360489424330968,0.6859598474328505,0.3284921676610932,0.4049086104441077,0.2665992218947991,0.1841321418900622,0.2864879501760086,0.529379907933929
2022-11-25,historical_5f148dad567ebddb,2022,group_stage,Qatar,Senegal,away_win,home_win,away_win,1.2558056054779023,0.5829824985955987,0.6728231068823036,0.4211512861457679,0.294002431812423,0.2848462820418091,0.1744471744471744,0.2673218673218673,0.5582309582309583
2022-12-02,historical_ffc2f7f054e75464,2022,group_stage,Cameroon,Brazil,home_win,away_win,away_win,2.8682553636376293,2.246416083512245,0.6218392801253843,0.0567979319279183,0.0666667123585368,0.8765353557135448,0.1057776442878662,0.1824103885118309,0.7118119672003028
2022-11-30,historical_0f4bd52b72301d86,2022,group_stage,Tunisia,France,home_win,away_win,away_win,2.36669691765114,1.818099113577912,0.548597804073228,0.0937900113307847,0.2112788672170277,0.6949311214521876,0.1623340363988578,0.2488269744276455,0.5888389891734966
2018-07-10,historical_e110976fb6338b7b,2018,semifinal,France,Belgium,home_win,away_win,home_win,1.4952006045745871,0.9877149666217524,0.5074856379528347,0.224203623946408,0.2600469755759502,0.5157494004776417,0.3724267269740082,0.3081741926078853,0.3193990804181064
2014-07-01,historical_3513de9543161c04,2014,round_of_16,Belgium,United States,home_win,away_win,home_win,1.2303113475651613,0.7364563108113279,0.49385503675383335,0.2922015872640411,0.2909501656191063,0.4168482471168524,0.4788076582216158,0.2841588476092675,0.2370334941691167
2022-12-18,historical_90fa2d826fe342e0,2022,final,Argentina,France,draw,away_win,home_win,1.679004493292859,1.1893372257404673,0.48966726755239165,0.3139102934920658,0.1865596049646834,0.4995301015432506,0.3611405467973068,0.3044229609220886,0.3344364922806045
2018-06-26,historical_41887b6dd6e01905,2018,group_stage,Denmark,France,draw,away_win,away_win,1.5359249003916875,1.0522376473361033,0.48368725305558424,0.2212271724796735,0.2152565082429704,0.563516319277356,0.1841845412905404,0.3491555872666,0.4666598714428596
2018-06-15,historical_3f2d2e78a580b1d6,2018,group_stage,Portugal,Spain,draw,away_win,away_win,1.6566973573122268,1.213145862368858,0.44355149494336876,0.1529894691748155,0.1907679793219201,0.6562425515032644,0.2253650629324906,0.2972606658311992,0.4773742712363102
